"Batch"	"oldName"	"subject"	"method"	"sample_type"	"con_bac"	"bac_load"	"con_human"	"host_load"	"total_load"
"1"	"batch13"	"OPH33_R"	"HZ33"	"R"	"OP"	14321.833	8593099.522	4599.208	2759524.858	11352624.38
"2"	"batch12"	"OPH30_R"	"HZ30"	"R"	"OP"	5531.505	3318903.093	2734.701	1640820.744	4959723.837
"3"	"batch8"	"BAL29_RM"	"LG29"	"RM"	"BALF"	4478.269	2686961.178	2481.077	1488646.016	4175607.195
"4"	"batch13"	"OPH33_RM"	"HZ33"	"RM"	"OP"	4158.758	2495254.629	44.613	26767.872	2522022.501
"5"	"Batch10"	"OPH20_R"	"HZ20"	"R"	"OP"	3406.905	2044143.121	2221.815	1333089.105	3377232.227
"6"	"batch13"	"OPH34_R"	"HZ34"	"R"	"OP"	2782.011	1669206.819	712.87	427722.046	2096928.865
"7"	"batch13"	"OPH33_P"	"HZ33"	"P"	"OP"	2708.148	1624888.684	222.523	133513.964	1758402.648
"8"	"batch13"	"OPH32_RM"	"HZ32"	"RM"	"OP"	2692.287	1615371.95	81.018	48610.821	1663982.771
"9"	"batch12"	"OPH30_RM"	"HZ30"	"RM"	"OP"	2612.351	1567410.687	171.012	102607.415	1670018.103
"10"	"batch12"	"OPH30_P"	"HZ30"	"P"	"OP"	2585.68	1551408.209	58.575	35145.093	1586553.303
"11"	"batch13"	"OPH33_F"	"HZ33"	"Fil"	"OP"	2357.926	1391562.687	18.847	11122.878	1402685.566
"12"	"batch13"	"OPH33_W"	"HZ33"	"W"	"OP"	2032.914	1219748.233	18.681	11208.524	1230956.757
"13"	"batch12"	"OPH30_W"	"HZ30"	"W"	"OP"	1428.212	856927.27	38.365	23019.026	879946.296
"14"	"batch7"	"BAL25_R"	"LG25"	"R"	"BALF"	1283.047	769828.121	567070.761	340242456.575	341012284.696
"15"	"batch11"	"OPL25_R"	"LG25"	"R"	"OP"	1189.308	713584.767	8868.115	5320868.891	6034453.658
"16"	"batch13"	"OPH33_S"	"HZ33"	"S"	"OP"	1182.322	709393.059	0	0	709393.059
"17"	"batch13"	"OPH33_M"	"HZ33"	"M"	"OP"	1045.216	627129.596	14.424	8654.547	635784.143
"18"	"Batch9"	"OPL17_R"	"LG17"	"R"	"OP"	1041.153	624691.678	469.291	281574.35	906266.028
"19"	"batch7"	"BAL26_R"	"LG26"	"R"	"BALF"	1029.286	617571.56	144242.943	86545765.657	87163337.216
"20"	"batch7"	"BAL25_P"	"LG25"	"P"	"BALF"	1009.324	605594.174	469419.344	281651606.21	282257200.384
"21"	"batch8"	"BAL29_R"	"LG29"	"R"	"BALF"	851.585	510951.019	59971.016	35982609.553	36493560.572
"22"	"batch13"	"OPH31_R"	"HZ31"	"R"	"OP"	792.716	475629.522	4557.346	2734407.602	3210037.125
"23"	"Batch2"	"OPL07_R"	"LG07"	"R"	"OP"	587.619	352571.682	455.639	273383.255	625954.936
"24"	"batch12"	"OPH30_M"	"HZ30"	"M"	"OP"	509.945	305966.768	1.154	692.165	306658.933
"25"	"batch11"	"OPL25_RM"	"LG25"	"RM"	"OP"	479.395	287636.914	244.905	146943.25	434580.164
"26"	"batch13"	"OPH32_M"	"HZ32"	"M"	"OP"	478.329	286997.312	5.117	3070.21	290067.522
"27"	"batch12"	"OPL27_R"	"LG27"	"R"	"OP"	446.77	268062.012	305.707	183424.216	451486.228
"28"	"Batch10"	"OPH20_P"	"HZ20"	"P"	"OP"	434.446	260667.74	51.45	30870.021	291537.76
"29"	"Batch9"	"OPH22_P"	"HZ22"	"P"	"OP"	432.593	259555.791	44.572	26743.312	286299.103
"30"	"Batch10"	"OPH20_RM"	"HZ20"	"RM"	"OP"	427.196	256317.346	22.797	13677.935	269995.282
"31"	"batch7"	"BAL26_P"	"LG26"	"P"	"BALF"	419.719	251831.558	21923.116	13153869.539	13405701.097
"32"	"Batch10"	"OPH20_F"	"HZ20"	"Fil"	"OP"	413.1	247859.878	6.393	3905.033	251764.912
"33"	"batch7"	"BAL25_S"	"LG25"	"S"	"BALF"	409.457	245674.401	777.893	466735.775	712410.176
"34"	"batch13"	"OPH33_H"	"HZ33"	"H"	"OP"	395.785	237470.823	0	0	237470.823
"35"	"batch13"	"OPH32_S"	"HZ32"	"S"	"OP"	389.133	233479.706	0	0	233479.706
"36"	"batch7"	"BAL25_RM"	"LG25"	"RM"	"BALF"	387.043	232226.089	5679.699	3407819.218	3640045.307
"37"	"batch11"	"OPL25_P"	"LG25"	"P"	"OP"	354.546	212727.468	265.188	159112.947	371840.416
"38"	"batch8"	"BAL29_P"	"LG29"	"P"	"BALF"	341.349	204809.692	21711.307	13026784.45	13231594.143
"39"	"batch13"	"OPH31_S"	"HZ31"	"S"	"OP"	334.157	200494.151	2.453	1471.536	201965.687
"40"	"batch7"	"BAL25_W"	"LG25"	"W"	"BALF"	330.262	198157.168	3743.828	2246297.091	2444454.259
"41"	"batch13"	"OPH32_W"	"HZ32"	"W"	"OP"	327.894	196736.478	12.781	7668.697	204405.175
"42"	"Batch2"	"OPL07_M"	"LG07"	"M"	"OP"	375.389	195202.066	22.62	11762.413	206964.478
"43"	"Batch9"	"OPH22_F"	"HZ22"	"Fil"	"OP"	278.388	178751.197	17.854	10712.544	189463.74
"44"	"Batch4"	"OPL12_R"	"LG12"	"R"	"OP"	291.446	174867.677	177.418	106450.837	281318.514
"45"	"Batch10"	"OPH23_R"	"HZ23"	"R"	"OP"	258.158	154894.769	372.194	223316.217	378210.986
"46"	"batch11"	"OPL25_F"	"LG25"	"Fil"	"OP"	204.495	150651.084	51.357	37834.864	188485.948
"47"	"batch11"	"OPL25_W"	"LG25"	"W"	"OP"	230.035	138021.101	234.272	140562.942	278584.042
"48"	"Batch9"	"OPH22_W"	"HZ22"	"W"	"OP"	221.941	133164.362	24.35	14610.287	147774.648
"49"	"Batch8"	"OPL14_R"	"LG14"	"R"	"OP"	207.011	124206.779	368.639	221183.63	345390.409
"50"	"Batch9"	"OPL17_RM"	"LG17"	"RM"	"OP"	202.593	121555.596	5.904	3542.309	125097.904
"51"	"batch13"	"OPH32_F"	"HZ32"	"Fil"	"OP"	199.15	120832.529	0.753	456.788	121289.316
"52"	"Batch9"	"OPL17_F"	"LG17"	"Fil"	"OP"	185.338	116782.56	5.375	3224.728	120007.288
"53"	"batch8"	"BAL28_RM"	"LG28"	"RM"	"BALF"	191.841	115104.889	2220.296	1332177.615	1447282.504
"54"	"Batch10"	"OPH20_W"	"HZ20"	"W"	"OP"	179.211	107526.577	4.498	2698.832	110225.408
"55"	"Batch3"	"OPL10_R"	"LG10"	"R"	"OP"	166.105	99662.917	88.185	52910.854	152573.771
"56"	"batch13"	"OPH30_H"	"HZ30"	"H"	"OP"	160.666	96399.418	0	0	96399.418
"57"	"Batch2"	"OPL07_S"	"LG07"	"S"	"OP"	158.856	95313.452	0	0	95313.452
"58"	"batch13"	"OPH31_RM"	"HZ31"	"RM"	"OP"	151.398	90838.933	23.184	13910.516	104749.45
"59"	"batch4"	"BAL17_R"	"LG17"	"R"	"BALF"	143.821	86292.793	479105.123	287463073.983	287549366.776
"60"	"batch11"	"OPL25_S"	"LG25"	"S"	"OP"	141.967	85179.92	4.134	2480.665	87660.586
"61"	"batch7"	"BAL25_F"	"LG25"	"Fil"	"BALF"	136.799	82079.415	4186.754	2512052.184	2594131.599
"62"	"batch13"	"OPH32_P"	"HZ32"	"P"	"OP"	129.878	77926.559	7.587	4552.189	82478.748
"63"	"batch13"	"OPH34_RM"	"HZ34"	"RM"	"OP"	128.774	77264.473	0.664	398.492	77662.965
"64"	"batch13"	"OPH31_F"	"HZ31"	"Fil"	"OP"	120.613	73761.036	16.157	9881.123	83642.159
"65"	"Batch9"	"OPL17_P"	"LG17"	"P"	"OP"	120.711	72426.853	3.759	2255.672	74682.525
"66"	"Batch10"	"OPH20_S"	"HZ20"	"S"	"OP"	119.775	71865.164	0	0	71865.164
"67"	"Batch2"	"OPL05_R"	"LG05"	"R"	"OP"	110.721	66432.656	23.05	13830.062	80262.718
"68"	"Batch10"	"OPH20_M"	"HZ20"	"M"	"OP"	106.387	63832.163	34.868	20920.83	84752.993
"69"	"batch8"	"BAL29_F"	"LG29"	"Fil"	"BALF"	104.075	62445.188	78.844	47306.377	109751.565
"70"	"Batch9"	"OPL17_W"	"LG17"	"W"	"OP"	103.255	61953.127	3.437	2062.284	64015.411
"71"	"Batch10"	"OPH23_RM"	"HZ23"	"RM"	"OP"	100.54	60324.194	36.672	22003.142	82327.337
"72"	"batch8"	"BAH31_R"	"HZ31"	"R"	"BALF"	97.243	58345.575	10520.376	6312225.385	6370570.96
"73"	"batch2"	"BAL07_R"	"LG07"	"R"	"BALF"	96.643	57985.843	702079.328	421247596.639	421305582.483
"74"	"Batch9"	"OPL17_M"	"LG17"	"M"	"OP"	95.546	57327.75	4.854	2912.244	60239.994
"75"	"batch12"	"OPL27_RM"	"LG27"	"RM"	"OP"	95.335	57200.754	1.758	1054.885	58255.639
"76"	"batch8"	"BAL28_R"	"LG28"	"R"	"BALF"	91.937	55162.094	358586.642	215151985.154	215207147.248
"77"	"batch1"	"BAL04_RM"	"LG04"	"RM"	"BALF"	87.964	52778.407	1.472	883.047	53661.454
"78"	"batch7"	"BAL25_H"	"LG25"	"H"	"BALF"	86.633	51979.822	58.414	35048.237	87028.059
"79"	"batch13"	"OPH32_H"	"HZ32"	"H"	"OP"	85.653	51391.648	0	0	51391.648
"80"	"Batch9"	"OPL17_S"	"LG17"	"S"	"OP"	80.039	48023.605	0	0	48023.605
"81"	"Batch5"	"OPL05_M"	"LG05"	"M"	"OP"	90.969	47303.986	0	0	47303.986
"82"	"batch7"	"BAL25_M"	"LG25"	"M"	"BALF"	78.073	46843.631	1208.783	725269.633	772113.264
"83"	"Batch9"	"OPH22_M"	"HZ22"	"M"	"OP"	76.384	45830.33	32.454	19472.595	65302.924
"84"	"Batch4"	"OPL12_S"	"LG12"	"S"	"OP"	75.617	45370.254	0	0	45370.254
"85"	"batch12"	"OPL27_M"	"LG27"	"M"	"OP"	74.795	44877.037	0.181	108.45	44985.487
"86"	"Batch9"	"OPL19_R"	"LG19"	"R"	"OP"	74.186	44511.502	37.353	22412.077	66923.58
"87"	"Batch5"	"OPL12_RM"	"LG12"	"RM"	"OP"	69.5	41699.781	5.322	3193.168	44892.949
"88"	"batch8"	"BAL29_W"	"LG29"	"W"	"BALF"	64.049	38429.446	39.292	23575.036	62004.482
"89"	"batch1"	"BAL04_R"	"LG04"	"R"	"BALF"	61.942	37165.166	6645.538	3987322.903	4024488.068
"90"	"batch8"	"BAL29_M"	"LG29"	"M"	"BALF"	61.491	36894.725	111.776	67065.689	103960.413
"91"	"Batch3"	"OPL10_RM"	"LG10"	"RM"	"OP"	55.906	33543.424	3.539	2123.16	35666.585
"92"	"batch13"	"OPH32_R"	"HZ32"	"R"	"OP"	54.723	32833.527	69.936	41961.46	74794.987
"93"	"Batch10"	"OPH23_F"	"HZ23"	"Fil"	"OP"	53.701	32220.588	22.495	14075.862	46296.45
"94"	"Batch3"	"OPL10_M"	"LG10"	"M"	"OP"	61.466	31962.092	4.712	2450.103	34412.196
"95"	"Batch4"	"OPL12_M"	"LG12"	"M"	"OP"	60.704	31566.236	2.6	1352.088	32918.324
"96"	"Batch9"	"OPH22_R"	"HZ22"	"R"	"OP"	52.051	31230.409	398.636	239181.88	270412.29
"97"	"batch12"	"OPH30_S"	"HZ30"	"S"	"OP"	51.592	30954.939	0	0	30954.939
"98"	"Batch10"	"OPH23_W"	"HZ23"	"W"	"OP"	50.041	30024.745	0	0	30024.745
"99"	"Batch9"	"OPL19_M"	"LG19"	"M"	"OP"	49.934	29960.355	7.514	4508.174	34468.53
"100"	"batch3"	"BAL13_R"	"LG13"	"R"	"BALF"	48.637	29182.075	40720.73	24432438.203	24461620.278
"101"	"batch8"	"BAL29_H"	"LG29"	"H"	"BALF"	48.354	29012.199	10.009	6005.186	35017.384
"102"	"Batch5"	"OPL07_H"	"LG07"	"H"	"OP"	55.497	27748.596	0.188	93.816	27842.412
"103"	"Batch9"	"OPH22_S"	"HZ22"	"S"	"OP"	44.049	26429.514	3.555	2133.27	28562.784
"104"	"Batch10"	"OPH20_H"	"HZ20"	"H"	"OP"	40.105	24063.156	0.159	95.42	24158.575
"105"	"batch12"	"OPL27_F"	"LG27"	"Fil"	"OP"	40.399	23584.08	0.146	85.456	23669.536
"106"	"Batch4"	"OPL12_F"	"LG12"	"Fil"	"OP"	29.96	23345.179	0.278	216.301	23561.48
"107"	"batch11"	"OPL25_M"	"LG25"	"M"	"OP"	38.86	23315.971	33.098	19858.605	43174.576
"108"	"Batch10"	"OPH23_P"	"HZ23"	"P"	"OP"	38.534	23120.601	0.786	471.542	23592.143
"109"	"batch8"	"BAH31_RM"	"HZ31"	"RM"	"BALF"	37.871	22722.728	58.542	35125.274	57848.002
"110"	"Batch8"	"OPL14_M"	"LG14"	"M"	"OP"	36.279	21767.541	0	0	21767.541
"111"	"Batch2"	"OPL05_S"	"LG05"	"S"	"OP"	34.715	20829.078	0	0	20829.078
"112"	"Batch10"	"OPH23_M"	"HZ23"	"M"	"OP"	33.571	20142.375	0.528	316.796	20459.171
"113"	"batch12"	"OPH30_F"	"HZ30"	"Fil"	"OP"	33.12	19871.984	0.272	163.18	20035.164
"114"	"batch4"	"BAL14_R"	"LG14"	"R"	"BALF"	33.104	19862.4	21257.289	12754373.235	12774235.635
"115"	"batch8"	"BAL28_F"	"LG28"	"Fil"	"BALF"	32.349	19409.639	20.977	12586.404	31996.043
"116"	"batch12"	"OPL27_S"	"LG27"	"S"	"OP"	29.978	17986.821	0.441	264.867	18251.688
"117"	"batch13"	"OPH31_W"	"HZ31"	"W"	"OP"	29.425	17655.226	19.629	11777.531	29432.756
"118"	"batch2"	"BAL10_R"	"LG10"	"R"	"BALF"	29.302	17581.439	54732.654	32839592.621	32857174.06
"119"	"batch12"	"OPL28_R"	"LG28"	"R"	"OP"	29.167	17500.241	79.15	47489.956	64990.197
"120"	"batch12"	"OPL27_H"	"LG27"	"H"	"OP"	28.93	17358.123	0	0	17358.123
"121"	"Batch10"	"OPH23_S"	"HZ23"	"S"	"OP"	28.633	17179.668	0	0	17179.668
"122"	"batch13"	"OPH31_M"	"HZ31"	"M"	"OP"	26.783	16069.534	13.272	7963.308	24032.842
"123"	"batch13"	"OPH31_P"	"HZ31"	"P"	"OP"	26.701	16020.564	71.472	42883.239	58903.803
"124"	"Batch8"	"OPL14_S"	"LG14"	"S"	"OP"	26.436	15861.702	0	0	15861.702
"125"	"batch8"	"BAH33_R"	"HZ33"	"R"	"BALF"	26.297	15777.989	523.819	314291.404	330069.393
"126"	"Batch2"	"OPL05_H"	"LG05"	"H"	"OP"	31.508	15753.756	0	0	15753.756
"127"	"batch13"	"OPH31_H"	"HZ31"	"H"	"OP"	24.311	14586.685	1.075	645.095	15231.78
"128"	"Batch9"	"OPL17_H"	"LG17"	"H"	"OP"	23.943	14365.617	0	0	14365.617
"129"	"batch1"	"BAL01_RM"	"LG01"	"RM"	"BALF"	23.636	14181.426	1470.409	882245.396	896426.822
"130"	"batch14"	"OPH36_R"	"HZ36"	"R"	"OP"	23.515	14109.191	8.02	4812.111	18921.303
"131"	"Batch10"	"OPH21_R"	"HZ21"	"R"	"OP"	22.89	13734.237	228.379	137027.281	150761.518
"132"	"Batch2"	"OPL07_RM"	"LG07"	"RM"	"OP"	22.076	13245.442	0.399	239.632	13485.074
"133"	"batch8"	"BAL29_S"	"LG29"	"S"	"BALF"	20.817	12490.142	54.74	32844.089	45334.232
"134"	"Batch8"	"OPL14_RM"	"LG14"	"RM"	"OP"	20.258	12154.724	1.194	716.388	12871.112
"135"	"batch2"	"BAL07_P"	"LG07"	"P"	"BALF"	20.158	12094.635	410259.868	246155920.729	246168015.365
"136"	"batch11"	"OPL24_R"	"LG24"	"R"	"OP"	19.867	11920.298	50.746	30447.817	42368.115
"137"	"Batch3"	"OPL10_W"	"LG10"	"W"	"OP"	18.108	10864.529	0.989	593.216	11457.745
"138"	"Batch8"	"OPL14_F"	"LG14"	"Fil"	"OP"	16.642	10698.649	0.166	106.799	10805.448
"139"	"Batch9"	"OPH22_H"	"HZ22"	"H"	"OP"	17.8	10680.284	0.975	585.208	11265.491
"140"	"batch6"	"BAH23_R"	"HZ23"	"R"	"BALF"	17.538	10522.851	693.049	415829.392	426352.243
"141"	"batch3"	"BAL12_RM"	"LG12"	"RM"	"BALF"	16.449	9869.406	4.219	2531.659	12401.065
"142"	"Batch3"	"OPL10_S"	"LG10"	"S"	"OP"	16.273	9763.857	0	0	9763.857
"143"	"batch12"	"OPL29_R"	"LG29"	"R"	"OP"	16.063	9638.072	159.278	95566.682	105204.755
"144"	"batch11"	"OPL25_H"	"LG25"	"H"	"OP"	16.056	9633.465	5.936	3561.878	13195.343
"145"	"batch8"	"BAH31_F"	"HZ31"	"Fil"	"BALF"	15.917	9550.142	3.637	2182.016	11732.158
"146"	"batch12"	"OPL27_W"	"LG27"	"W"	"OP"	15.799	9479.127	1.573	943.861	10422.987
"147"	"batch8"	"BAH31_S"	"HZ31"	"S"	"BALF"	15.758	9454.555	10.846	6507.643	15962.198
"148"	"batch3"	"BAL13_RM"	"LG13"	"RM"	"BALF"	15.094	9056.171	6.765	4058.954	13115.125
"149"	"batch8"	"BAL28_S"	"LG28"	"S"	"BALF"	14.361	8616.672	181.679	109007.277	117623.949
"150"	"batch12"	"OPL27_P"	"LG27"	"P"	"OP"	12.428	7456.885	6.188	3712.571	11169.456
"151"	"Batch2"	"OPL05_W"	"LG05"	"W"	"OP"	12.319	7391.501	0	0	7391.501
"152"	"batch10"	"BAL28_H"	"LG28"	"H"	"BALF"	12.296	7377.819	42.571	25542.734	32920.553
"153"	"batch8"	"BAH33_W"	"HZ33"	"W"	"BALF"	11.214	6728.535	0.213	127.864	6856.4
"154"	"batch3"	"BAL13_S"	"LG13"	"S"	"BALF"	11.055	6633.068	10.29	6174.061	12807.129
"155"	"Batch2"	"OPL07_P"	"LG07"	"P"	"OP"	10.933	6559.769	2.471	1482.614	8042.384
"156"	"batch1"	"BAL01_R"	"LG01"	"R"	"BALF"	10.796	6477.449	5925.635	3555381.063	3561858.512
"157"	"batch5"	"BAL18_R"	"LG18"	"R"	"BALF"	10.626	6375.351	823222.9	493933739.832	493940115.183
"158"	"batch3"	"BAL13_P"	"LG13"	"P"	"BALF"	10.484	6290.435	661.315	396789.091	403079.526
"159"	"Batch3"	"OPL10_H"	"LG10"	"H"	"OP"	12.299	6149.389	0	0	6149.389
"160"	"batch7"	"BAL28_M"	"LG28"	"M"	"BALF"	10.129	6077.25	1711.094	1026656.51	1032733.76
"161"	"batch13"	"OPH34_F"	"HZ34"	"Fil"	"OP"	10.023	5751.696	0	0	5751.696
"162"	"batch4"	"BAL17_F"	"LG17"	"Fil"	"BALF"	9.347	5608.112	57.166	34299.362	39907.474
"163"	"Batch8"	"OPL14_H"	"LG14"	"H"	"OP"	9.16	5495.707	0	0	5495.707
"164"	"batch12"	"OPL28_RM"	"LG28"	"RM"	"OP"	9.092	5455.205	13.883	8329.564	13784.769
"165"	"batch13"	"OPH34_M"	"HZ34"	"M"	"OP"	9.053	5431.694	0.088	52.809	5484.503
"166"	"Batch4"	"OPL12_P"	"LG12"	"P"	"OP"	9.021	5412.743	2.494	1496.462	6909.205
"167"	"Batch10"	"OPH21_S"	"HZ21"	"S"	"OP"	8.87	5322.064	1.936	1161.379	6483.443
"168"	"batch8"	"BAH33_S"	"HZ33"	"S"	"BALF"	8.403	5041.927	0	0	5041.927
"169"	"Batch8"	"OPL14_W"	"LG14"	"W"	"OP"	8.081	4848.713	0.208	124.95	4973.663
"170"	"Batch8"	"OPL14_P"	"LG14"	"P"	"OP"	7.659	4595.676	3.415	2048.972	6644.648
"171"	"batch5"	"BAL18_F"	"LG18"	"Fil"	"BALF"	7.641	4584.834	1699.087	1019452.036	1024036.87
"172"	"batch3"	"BAL12_R"	"LG12"	"R"	"BALF"	7.611	4566.705	33585.563	20151337.923	20155904.628
"173"	"batch1"	"BAL04_P"	"LG04"	"P"	"BALF"	7.553	4531.682	410.185	246110.706	250642.388
"174"	"Batch10"	"OPH21_RM"	"HZ21"	"RM"	"OP"	7.434	4460.403	0.231	138.306	4598.709
"175"	"Batch10"	"OPH21_F"	"HZ21"	"Fil"	"OP"	7.334	4400.614	0	0	4400.614
"176"	"Batch3"	"OPL09_R"	"LG09"	"R"	"OP"	7.069	4241.17	36.133	21679.794	25920.964
"177"	"batch4"	"BAL17_RM"	"LG17"	"RM"	"BALF"	6.927	4156.068	12.826	7695.688	11851.756
"178"	"Batch9"	"OPL19_H"	"LG19"	"H"	"OP"	6.882	4129.157	0	0	4129.157
"179"	"batch8"	"BAH31_M"	"HZ31"	"M"	"BALF"	6.733	4039.629	22.762	13656.946	17696.575
"180"	"batch3"	"BAL13_M"	"LG13"	"M"	"BALF"	6.677	4006.003	9.292	5575.154	9581.156
"181"	"Batch10"	"OPH21_W"	"HZ21"	"W"	"OP"	6.654	3992.32	0	0	3992.32
"182"	"batch3"	"BAL04_S"	"LG04"	"S"	"BALF"	6.634	3980.459	0.046	27.33	4007.789
"183"	"batch2"	"BAL09_R"	"LG09"	"R"	"BALF"	6.534	3920.186	18845.615	11307368.913	11311289.099
"184"	"batch8"	"BAH33_F"	"HZ33"	"Fil"	"BALF"	6.282	3768.905	2.637	1581.981	5350.886
"185"	"Batch10"	"OPH21_P"	"HZ21"	"P"	"OP"	6.218	3730.571	6.903	4141.954	7872.525
"186"	"Batch8"	"OPL15_R"	"LG15"	"R"	"OP"	6.189	3713.654	113.919	68351.223	72064.877
"187"	"batch10"	"BAL28_P"	"LG28"	"P"	"BALF"	6.059	3635.633	2791.983	1675189.687	1678825.32
